University_name,Region,State,Founded_year,Number_of_years,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students_percent,International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year,Latitude,Longitude,Website
University of Edinburgh,Scotland,Scotland,1583,439,Seek and You Shall Find,6,30,85,5.5,15850,16500,0.44,44,0.726,31631,"over-5,000",Public,Semesters,Urban,8500,55.9445,-3.1892,www.ed.ac.uk
University of Glasgow,Scotland,Scotland,1451,571,"The Way, the Truth and the Life",10,86,80.7,5.5,14500,14500,0.4,40,0.782,27625,"4,000-4,499",Public,Semesters,Urban,8000,55.8724,-4.29,www.gla.ac.uk
University of Aberdeen,Scotland,Scotland,1495,527,The fear of the Lord is the beginning of wisdom,22,158,76.8,5.5,13000,13000,0.268,26.8,0.811,13107,"1,000-1,499",Public,Semesters,Urban,8000,57.1648,-2.1015,www.abdn.ac.uk
University of Dundee,Scotland,Scotland,1967,55,My soul magnifies the Lord,30,208,76,5.5,12950,14875,0.249,24.9,0.838,13016,"1,000-1,499",Public,Semesters,Urban,6500,56.4582,-2.9821,www.dundee.ac.uk
University of St Andrews,Scotland,Scotland,1413,609,Ever to excel,34,248,75.8,6.5,17040,15440,0.404,40.4,0.879,9500,"1,000-1,499",Public,Semesters,Suburban,12000,56.3417,-2.7943,www.st-andrews.ac.uk
University of Stirling,Scotland,Scotland,1967,55,"By connecting, innovating and transforming, we believe our thinking can change the world",39,347,70.8,5.5,11275,11900,0.408,40.8,0.756,9749,"1,000-1,499",Public,Semesters,Suburban,7000,56.1461,-3.9178,www.stir.ac.uk
University of Strathclyde,Scotland,Scotland,1964,58,The Place of Useful Learning,54,448,74.3,5.5,14250,13850,0.27,27,0.789,19337,"1,500-1,999",Public,Semesters,Urban,9000,55.8621,-4.2424,www.strath.ac.uk
Edinburgh Napier University,Scotland,Scotland,1992,30,"Without knowledge, everything is in vain",59,546,66.2,4.5,11250,12000,0.329,32.9,0.759,10812,800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142,www.napier.ac.uk
Heriot-Watt University,Scotland,Scotland,1966,56,Leaders in ideas and solutions,60,551,72.2,5.5,13020,13420,0.363,36.3,0.779,9493,800-899,Public,NA,Suburban,8000,55.9112,-3.3217,www.hw.ac.uk
University of the West of Scotland,Scotland,Scotland,1897,125,To achieve through hard work,65,592,66.9,4.5,11000,11000,0.242,24.2,0.78,13013,600-699,Public,Trimesters,Urban,8000,55.7782,-4.1041,www.uws.ac.uk
Glasgow Caledonian University,Scotland,Scotland,1993,29,For the Common Weal,71,756,67.2,4.5,10467,11133,0.181,18.1,0.765,13509,700-799,Public,Trimesters,Urban,8000,55.8668,-4.25,www.gcu.ac.uk
Robert Gordon University,Scotland,Scotland,1992,30,Make the best of all your abilities,92,1105,NA,4.5,10000,11500,0.239,23.9,0.804,8899,600-699,Public,Semesters,Suburban,7000,57.1189,-2.1379,www.rgu.ac.uk
Abertay University,Scotland,Scotland,1994,28,Blessed is the one who finds wisdom,98,1334,NA,5.5,10700,11400,0.21,21,0.813,3915,200-299,Public,Semesters,Urban,6500,56.4633,-2.9739,www.abertay.ac.uk
Queen Margaret University,Scotland,Scotland,2007,15,NA,118,2494,NA,4.5,10700,11000,0.322,32.2,0.765,3884,200-299,Public,Semesters,Suburban,7500,55.9308,-3.0736,www.qmced.ac.uk
